open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1775061000000,2135.16,2138.65,2131.36,2134.16,17884.557,1775061299999,38186419.40849,24644,7285.662,15556611.60651,0
1775061300000,2134.16,2146.23,2133.99,2141.13,45732.222,1775061599999,97958284.12250,51237,27596.247,59100133.62788,0
1775061600000,2141.13,2152.15,2140.28,2149.06,42032.824,1775061899999,90265958.28073,46899,22327.362,47954874.88266,0
1775061900000,2149.05,2149.58,2143.16,2146.57,23048.736,1775062199999,49469317.19539,30940,9123.387,19579867.69518,0
1775062200000,2146.57,2147.30,2144.56,2145.64,8873.207,1775062499999,19041337.92769,14055,3936.227,8447076.92560,0
1775062500000,2145.64,2146.42,2143.31,2144.99,10665.268,1775062799999,22871727.86297,15254,5137.008,11016967.68182,0
1775062800000,2145.00,2167.20,2144.59,2163.87,114700.582,1775063099999,247761183.56161,102743,72941.473,157543666.14199,0
1775063100000,2163.87,2163.88,2154.13,2155.00,39669.176,1775063399999,85618314.58861,49073,15309.902,33033029.62150,0
1775063400000,2155.00,2155.77,2150.43,2151.58,27913.583,1775063699999,60092636.14310,34396,11859.603,25531877.58692,0
1775063700000,2151.59,2155.58,2151.58,2152.78,18771.543,1775063999999,40419378.53864,24194,10025.878,21587543.62349,0
1775064000000,2152.77,2152.78,2140.76,2143.33,35158.300,1775064299999,75425260.37990,45338,15105.271,32399279.01436,0
1775064300000,2143.32,2144.01,2139.01,2140.76,26230.860,1775064599999,56180398.30210,32356,13733.986,29417714.97802,0
1775064600000,2140.77,2144.45,2137.08,2139.10,17516.510,1775064899999,37503333.40201,26450,8565.728,18343058.37289,0
1775064900000,2139.10,2144.09,2132.30,2140.76,37561.418,1775065199999,80282382.86884,41960,16086.604,34394317.82624,0
1775065200000,2140.76,2141.42,2138.01,2139.28,7433.510,1775065499999,15906243.06307,13611,3871.675,8284861.14537,0
1775065500000,2139.29,2139.83,2134.21,2136.03,9652.779,1775065799999,20630987.94781,18244,4260.965,9109013.45442,0
1775065800000,2136.04,2138.54,2132.67,2137.09,13001.810,1775066099999,27765386.88413,22865,6680.664,14268395.10851,0
1775066100000,2137.08,2137.63,2134.50,2135.86,6735.424,1775066399999,14387280.96541,15126,3545.698,7574251.48849,0
